| THETA | 1.212 | GO    | 268.1  | 261.6    | 471.8   | 478.5    | -6.713| 212.1 | 0.128 | -20.13| 0.000 | 3.294 | 49.17  | 32.32 |
| THETA | 1.218 | GO    | 262.4  | 255.2    | 473.5   | 480.2    | -6.648| 205.5 | 0.064 | -19.94| 0.000 | 1.654 | 48.12  | 29.83 |
| THETA | 1.230 | GO    | 252.4  | 246.1    | 476.4   | 482.9    | -6.522| 199.0 | 0.125 | -19.56| 0.000 | 3.217 | 46.29  | 29.94 |
| THETA | 1.241 | GO    | 242.5  | 235.4    | 479.1   | 485.5    | -6.389| 192.6 | 0.133 | -19.16| 0.000 | 3.411 | 44.46  | 28.71 |
| THETA | 1.252 | GO    | 232.5  | 225.3    | 481.8   | 488.0    | -6.254| 186.3 | 0.135 | -18.76| 0.000 | 3.467 | 42.63  | 27.34 |
| THETA | 1.258 | GO    | 226.8  | 219.7    | 483.2   | 489.4    | -6.190| 180.1 | 0.063 | -18.57| 0.000 | 1.622 | 41.58  | 24.63 |
| THETA | 1.269 | GO    | 216.8  | 212.5    | 485.7   | 491.8    | -6.086| 174.0 | 0.103 | -18.26| 0.000 | 2.656 | 39.75  | 24.15 |
| THETA | 1.280 | GO    | 207.1  | 209.4    | 488.0   | 494.1    | -6.059| 168.0 | 0.027 | -18.17| 0.000 | 0.710 | 37.99  | 20.52 |
| THETA | 1.291 | GO    | 197.5  | 191.3    | 490.2   | 496.1    | -5.940| 162.0 | 0.119 | -17.82| 0.000 | 3.047 | 36.22  | 21.44 |
| THETA | 1.302 | GO    | 187.8  | 178.6    | 492.3   | 498.0    | -5.789| 156.2 | 0.151 | -17.36| 0.000 | 3.866 | 34.44  | 20.94 |
| THETA | 1.308 | GO    | 182.1  | 163.3    | 493.4   | 499.1    | -5.649| 150.6 | 0.139 | -16.94| 0.000 | 3.561 | 33.39  | 20.00 |
| THETA | 1.319 | GO    | 172.4  | 171.8    | 495.4   | 500.9    | -5.591| 145.0 | 0.058 | -16.77| 0.000 | 1.503 | 31.62  | 16.34 |
| THETA | 1.330 | GO    | 162.7  | 155.2    | 497.2   | 502.6    | -5.457| 139.5 | 0.133 | -16.37| 0.000 | 3.419 | 29.84  | 16.89 |
| THETA | 1.340 | GO    | 153.1  | 145.0    | 498.9   | 504.2    | -5.318| 134.2 | 0.139 | -15.95| 0.000 | 3.566 | 28.07  | 15.68 |
| THETA | 1.351 | GO    | 143.4  | 134.6    | 500.5   | 505.6    | -5.171| 129.1 | 0.147 | -15.51| 0.000 | 3.770 | 26.30  | 14.56 |
